model,auroc,auprc,balanced_accuracy,brier,ece,seed,fold,best_epoch,n_epochs_run,best_validation_loss,max_abs_masked_weight_after_training,n_masked_weights,n_unmasked_weights
pathway_constrained_binn,0.6709911779968863,0.6784116166577818,0.610275038920602,0.3014666957239053,0.2861894424432565,11,1,18,38,1.1033424139022827,0.0,17963247,75429
pathway_constrained_binn,0.7607680332122471,0.7378800121991163,0.6925272444213804,0.24758292732515177,0.23524017419746004,11,2,26,46,0.8702837228775024,0.0,17963247,75429
pathway_constrained_binn,0.6159833938764919,0.585839201191971,0.5199792423456149,0.24537147958892322,0.07702041857621887,11,3,1,21,0.683846652507782,0.0,17963247,75429
pathway_constrained_binn,0.7014846235418876,0.6276106611604644,0.6662248144220573,0.28025843701977937,0.28620343016377614,11,4,74,94,1.4893876314163208,0.0,17963247,75429
pathway_constrained_binn,0.805408271474019,0.7641884694115642,0.7327677624602333,0.20545430320627026,0.20273563068691153,11,5,23,43,0.7158348560333252,0.0,17963247,75429
pathway_constrained_binn,0.6715101193565127,0.6832500585415177,0.610275038920602,0.3157157402156571,0.30348941273957114,23,1,26,46,1.294260859489441,0.0,17963247,75429
pathway_constrained_binn,0.7919045147898287,0.7704004151833896,0.7031655422937209,0.19374052529014862,0.10856814819536258,23,2,10,30,0.5718436241149902,0.0,17963247,75429
pathway_constrained_binn,0.598858329008822,0.5688932514704776,0.5749870264660093,0.24496421455199646,0.09520308673381805,23,3,3,23,0.6828920245170593,0.0,17963247,75429
pathway_constrained_binn,0.7009544008483564,0.6019009519281112,0.6757688229056203,0.26252230770219687,0.23861329944008303,23,4,17,37,1.0638147592544556,0.0,17963247,75429
pathway_constrained_binn,0.8165429480381761,0.7672039309201784,0.7192470837751856,0.18082193306580766,0.16748711504958752,23,5,11,31,0.544669508934021,0.0,17963247,75429
pathway_constrained_binn,0.7042034250129735,0.7133609715108866,0.6315516346652829,0.2623353885899762,0.23350412096955223,37,1,14,34,0.858881413936615,0.0,17963247,75429
pathway_constrained_binn,0.7576543850544888,0.731980133653977,0.6956408925791385,0.19970343690377562,0.14816410005600614,37,2,7,27,0.5762636661529541,0.0,17963247,75429
pathway_constrained_binn,0.6040477426050855,0.5608332788998489,0.608718214841723,0.3193805384841028,0.2867173503074438,37,3,16,36,1.36126708984375,0.0,17963247,75429
pathway_constrained_binn,0.6749734888653235,0.5904636004425324,0.6174443266171792,0.293500738711075,0.27709859783256735,37,4,17,37,1.133454442024231,0.0,17963247,75429
pathway_constrained_binn,0.8176033934252386,0.7645135479859975,0.6826617179215271,0.196143129161463,0.17465423672235802,37,5,14,34,0.5990294814109802,0.0,17963247,75429
