display_rank,pathway_name,short_label,mean_rank,rank_variance,min_rank,max_rank,n_folds,is_rna_processing
1,REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,Post Translational Protein Modification,5.4,22.40000000000001,2,21,5,False
2,REACTOME_DEVELOPMENTAL_BIOLOGY,Developmental Biology,5.933333333333334,17.78095238095238,1,13,5,False
3,REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION,Rna Polymerase Ii Transcription,6.0,37.42857142857142,1,24,5,False
4,REACTOME_INFECTIOUS_DISEASE,Infectious Disease,7.4,27.257142857142856,1,14,5,False
5,REACTOME_INNATE_IMMUNE_SYSTEM,Innate Immune System,7.533333333333333,51.409523809523805,1,24,5,False
6,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,Cytokine Signaling In Immune System,9.266666666666667,102.9238095238095,2,44,5,False
7,REACTOME_TRANSPORT_OF_SMALL_MOLECULES,Transport Of Small Molecules,13.0,135.85714285714286,1,41,5,False
8,REACTOME_CELLULAR_RESPONSES_TO_STIMULI,Cellular Responses To Stimuli,13.666666666666666,161.9523809523809,1,46,5,False
9,REACTOME_METABOLISM_OF_LIPIDS,Metabolism Of Lipids,14.733333333333333,118.92380952380952,1,35,5,False
10,REACTOME_ADAPTIVE_IMMUNE_SYSTEM,Adaptive Immune System,16.866666666666667,159.55238095238093,4,49,5,False
11,REACTOME_METABOLISM_OF_RNA,Metabolism Of Rna,19.4,153.68571428571428,4,43,5,False
12,REACTOME_NERVOUS_SYSTEM_DEVELOPMENT,Nervous System Development,19.466666666666665,225.69523809523804,1,63,5,False
13,REACTOME_CELL_CYCLE,Cell Cycle,19.866666666666667,219.1238095238095,3,56,5,False
14,REACTOME_MEMBRANE_TRAFFICKING,Membrane Trafficking,19.866666666666667,206.9809523809524,2,49,5,False
15,REACTOME_VESICLE_MEDIATED_TRANSPORT,Vesicle Mediated Transport,19.866666666666667,131.55238095238096,2,37,5,False
16,REACTOME_VIRAL_INFECTION_PATHWAYS,Viral Infection Pathways,20.8,128.88571428571427,7,43,5,False
17,REACTOME_HEMOSTASIS,Hemostasis,21.133333333333333,169.12380952380957,8,55,5,False
18,REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3,"Signaling By Rho Gtpases Miro Gtpases And
Rhobtb3",21.6,208.82857142857145,5,56,5,False
19,REACTOME_SIGNALING_BY_GPCR,Signaling By Gpcr,21.866666666666667,123.6952380952381,11,54,5,False
20,REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,Signaling By Receptor Tyrosine Kinases,23.4,105.68571428571428,10,42,5,False
